feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
renewables_consumption,gdp,ARIMA,19,2152672526601.2698,6810362813963.43,39244975444.9716,30827308762238.13,21.993739127715163,78.13088640643689
renewables_consumption,gdp,LSTM,19,4338397983987.862,5865705612234.368,63484368622.586784,22704836349732.887,33.42267338781935,38.59875332853348
renewables_consumption,gdp,Bi-LSTM,19,2392715038627.773,2201532630412.2676,115557058557.0901,8230542415616.063,25.802085045222054,27.4731380294213
renewables_consumption,gdp,ED-LSTM,19,4183438357067.3306,4833304513309.03,87882208266.92679,15956254151133.559,39.80529025264121,58.736641740378914
renewables_consumption,gdp,CNN,19,2222687354832.2627,2416430434731.626,174532818661.94708,7884357204903.025,18.918702300449315,20.070001825974742
wind_cons_change_twh,gdp,ARIMA,19,2783364719725.9336,6422673898160.086,79147471916.02892,28707810651340.043,32.56755820925133,89.75375231257358
wind_cons_change_twh,gdp,LSTM,19,24816056706811.42,90723606151743.0,183660004125.26105,409221002182796.7,70.91648602328128,131.02265393867754
wind_cons_change_twh,gdp,Bi-LSTM,19,10955792534184.473,20262475974732.28,165953785616.80225,77028005207421.25,100.95445011519803,179.32538015721698
wind_cons_change_twh,gdp,ED-LSTM,19,1620888174364.3252,1667760307762.1624,220631987175.57706,8143749402646.593,16.736182074204244,22.116450504697784
wind_cons_change_twh,gdp,CNN,19,26023604359728.844,45877316531668.6,208292124619.99255,157458605425751.94,378.5062844549558,920.6589654105921
hydro_consumption,gdp,ARIMA,19,258609170625.2062,373889226462.53485,39234313387.496796,1443351757708.6343,1.2671468310542116,0.5708527107087495
hydro_consumption,gdp,LSTM,19,1626064640363.0515,2062714299176.4568,291796041968.70917,9488756950324.77,13.588505874044332,8.83971537625925
hydro_consumption,gdp,Bi-LSTM,19,1884081962052.5059,2574220780309.8833,303512817046.1296,9237955472437.94,14.269511586383407,8.558209558875138
hydro_consumption,gdp,ED-LSTM,19,1868927221791.5107,2151080676866.6177,204020452827.70724,9214954492075.914,15.281784271450018,8.955272958089706
hydro_consumption,gdp,CNN,19,1481864779065.2483,1788548306065.6655,302821117441.13336,8405403826111.531,13.659837465599633,8.137852039119224
gas_prod_change_twh,gdp,ARIMA,19,664148597647.8812,1329062984983.9978,40042721554.36817,5244578517595.226,2.7740840404050253,1.5228974992612914
gas_prod_change_twh,gdp,LSTM,19,2855223412671.1055,3497028407529.3945,344004850371.2648,13073771348544.547,23.069911359736956,23.794207033950237
gas_prod_change_twh,gdp,Bi-LSTM,19,2491429285879.669,3284592346254.0034,315074047694.94507,11932211975793.943,17.124982915427733,6.064557300351092
gas_prod_change_twh,gdp,ED-LSTM,19,2295384860249.989,2374843580862.0854,346915792766.7525,9652572262808.531,20.16493499491481,11.106057165188501
gas_prod_change_twh,gdp,CNN,19,2523952114153.417,3564368126909.8037,362411797954.27795,15067134765289.273,17.244665204667555,7.499406011986723
energy_per_capita,gdp,ARIMA,19,418232655224.9265,863122016856.3162,21822300653.064766,3911190970229.7417,1.8069184643702287,1.0680578843468547
energy_per_capita,gdp,LSTM,19,1653436713100.8994,2876381574527.8994,111888741059.27904,12003668416858.8,10.437771117350307,7.266244192272095
energy_per_capita,gdp,Bi-LSTM,19,1317192423348.6924,2144903088720.9434,68685322357.25782,10061404891277.445,10.616234768779469,7.500698947667261
energy_per_capita,gdp,ED-LSTM,19,1412175598776.455,2091786625125.891,102952405932.95486,9296651719549.236,10.83119390073242,7.397188261708207
energy_per_capita,gdp,CNN,19,1439514290228.1262,2407207124681.079,86836901832.75056,11183389886761.326,10.161882062290065,7.310443478812257
coal_consumption,gdp,ARIMA,19,734133200899.9597,1625703397877.5654,26292924596.4486,6733794709981.847,2.586030217249005,1.996821678152242
